id,cert,domain,difficulty,scenarioOrg,stem,A,B,C,D,answer,explanation,tags
sc300-d1-q16,SC-300,Implement and manage user identities,easy,Nexus Financial,Nexus Financial is working in a regulated finance environment. The security lead needs to automatically grant access based on user attributes. Which action best satisfies the requirement while following least privilege?,use a static assigned group,grant access directly to each user,create a Conditional Access named location,create a dynamic membership rule on the required attribute,D,"The best answer is to create a dynamic membership rule on the required attribute. This directly addresses dynamic groups and group lifecycle, keeps permissions scoped, and matches the exam objective for Implement and manage user identities.","dynamic-groups, dynamic, domain-1"
sc300-d1-q17,SC-300,Implement and manage user identities,medium,FortisAid Healthcare,"During a review at FortisAid Healthcare, auditors found a gap related to hybrid identity synchronization. You must fix it without adding unnecessary standing access. What should you do?",configure Microsoft Entra Connect Sync or Cloud Sync with filtering,create cloud-only duplicates,use B2B collaboration for employees,enable PIM for every synced account,A,"The best answer is to configure Microsoft Entra Connect Sync or Cloud Sync with filtering. This directly addresses hybrid identity synchronization, keeps permissions scoped, and matches the exam objective for Implement and manage user identities.","hybrid-sync, hybrid, domain-1"
sc300-d1-q18,SC-300,Implement and manage user identities,medium,ClearVault Finance,"A change request at ClearVault Finance says: ""collaborate with partner users while limiting their tenant access."" The solution must be auditable and aligned to Microsoft cloud security practices. Which option should you choose?",create permanent member accounts for all partners,"configure External Identities, cross-tenant access settings, and scoped app access",disable guest access reviews,share an administrator account,B,"The best answer is to configure External Identities, cross-tenant access settings, and scoped app access. This directly addresses external identities and B2B, keeps permissions scoped, and matches the exam objective for Implement and manage user identities.","external-identities, external, domain-1"
sc300-d1-q19,SC-300,Implement and manage user identities,hard,Helix x Pulse Networks,"Helix x Pulse Networks has a production issue involving tenant setup and domain management. The team wants the fastest secure remediation, not a temporary workaround. What is the best answer? The solution must minimize blast radius and preserve investigation evidence.",change the default tenant name only,create a Conditional Access policy for the domain,add the DNS TXT record and configure company branding,assign licenses before verification,C,"The best answer is to add the DNS TXT record and configure company branding. This directly addresses tenant setup and domain management, keeps permissions scoped, and matches the exam objective for Implement and manage user identities. In exam scenarios, prefer controls that are enforceable, auditable, and least-privileged over broad access or manual process.","tenant-domain-branding, tenant, domain-1"
sc300-d1-q20,SC-300,Implement and manage user identities,medium,Nexus Financial,You are designing controls for Nexus Financial. The requirement is to delegate user administration for one department without tenant-wide rights. Which implementation is the most appropriate?,make the team Global Administrators,create a dynamic group only,use a device compliance policy,scope the role assignment to an administrative unit,D,"The best answer is to scope the role assignment to an administrative unit. This directly addresses administrative units and delegated administration, keeps permissions scoped, and matches the exam objective for Implement and manage user identities.","admin-units, administrative, domain-1"
sc300-d1-q21,SC-300,Implement and manage user identities,easy,FortisAid Healthcare,FortisAid Healthcare is working in a healthcare tenant with sensitive patient data. The security lead needs to onboard many employees with consistent attributes and licenses. Which action best satisfies the requirement while following least privilege?,use Microsoft Graph PowerShell or bulk CSV import with group-based licensing,manually create every account,ask Microsoft Support to import the users,store passwords in a shared spreadsheet,A,"The best answer is to use Microsoft Graph PowerShell or bulk CSV import with group-based licensing. This directly addresses bulk user creation and attributes, keeps permissions scoped, and matches the exam objective for Implement and manage user identities.","bulk-user-management, bulk, domain-1"
sc300-d1-q22,SC-300,Implement and manage user identities,medium,ClearVault Finance,"During a review at ClearVault Finance, auditors found a gap related to dynamic groups and group lifecycle. You must fix it without adding unnecessary standing access. What should you do?",use a static assigned group,create a dynamic membership rule on the required attribute,grant access directly to each user,create a Conditional Access named location,B,"The best answer is to create a dynamic membership rule on the required attribute. This directly addresses dynamic groups and group lifecycle, keeps permissions scoped, and matches the exam objective for Implement and manage user identities.","dynamic-groups, dynamic, domain-1"
sc300-d1-q23,SC-300,Implement and manage user identities,medium,Helix x Pulse Networks,"A change request at Helix x Pulse Networks says: ""synchronize selected on-premises identities to Entra ID."" The solution must be auditable and aligned to Microsoft cloud security practices. Which option should you choose?",create cloud-only duplicates,use B2B collaboration for employees,configure Microsoft Entra Connect Sync or Cloud Sync with filtering,enable PIM for every synced account,C,"The best answer is to configure Microsoft Entra Connect Sync or Cloud Sync with filtering. This directly addresses hybrid identity synchronization, keeps permissions scoped, and matches the exam objective for Implement and manage user identities.","hybrid-sync, hybrid, domain-1"
sc300-d1-q24,SC-300,Implement and manage user identities,hard,Nexus Financial,"Nexus Financial has a production issue involving external identities and B2B. The team wants the fastest secure remediation, not a temporary workaround. What is the best answer? The solution must minimize blast radius and preserve investigation evidence.",create permanent member accounts for all partners,disable guest access reviews,share an administrator account,"configure External Identities, cross-tenant access settings, and scoped app access",D,"The best answer is to configure External Identities, cross-tenant access settings, and scoped app access. This directly addresses external identities and B2B, keeps permissions scoped, and matches the exam objective for Implement and manage user identities. In exam scenarios, prefer controls that are enforceable, auditable, and least-privileged over broad access or manual process.","external-identities, external, domain-1"
sc300-d1-q25,SC-300,Implement and manage user identities,medium,FortisAid Healthcare,You are designing controls for FortisAid Healthcare. The requirement is to verify a custom domain and present trusted sign-in branding. Which implementation is the most appropriate?,add the DNS TXT record and configure company branding,change the default tenant name only,create a Conditional Access policy for the domain,assign licenses before verification,A,"The best answer is to add the DNS TXT record and configure company branding. This directly addresses tenant setup and domain management, keeps permissions scoped, and matches the exam objective for Implement and manage user identities.","tenant-domain-branding, tenant, domain-1"
sc300-d1-q26,SC-300,Implement and manage user identities,easy,ClearVault Finance,ClearVault Finance is working in a secure Azure landing zone. The security lead needs to delegate user administration for one department without tenant-wide rights. Which action best satisfies the requirement while following least privilege?,make the team Global Administrators,scope the role assignment to an administrative unit,create a dynamic group only,use a device compliance policy,B,"The best answer is to scope the role assignment to an administrative unit. This directly addresses administrative units and delegated administration, keeps permissions scoped, and matches the exam objective for Implement and manage user identities.","admin-units, administrative, domain-1"
sc300-d1-q27,SC-300,Implement and manage user identities,medium,Helix x Pulse Networks,"During a review at Helix x Pulse Networks, auditors found a gap related to bulk user creation and attributes. You must fix it without adding unnecessary standing access. What should you do?",manually create every account,ask Microsoft Support to import the users,use Microsoft Graph PowerShell or bulk CSV import with group-based licensing,store passwords in a shared spreadsheet,C,"The best answer is to use Microsoft Graph PowerShell or bulk CSV import with group-based licensing. This directly addresses bulk user creation and attributes, keeps permissions scoped, and matches the exam objective for Implement and manage user identities.","bulk-user-management, bulk, domain-1"
sc300-d1-q28,SC-300,Implement and manage user identities,medium,Nexus Financial,"A change request at Nexus Financial says: ""automatically grant access based on user attributes."" The solution must be auditable and aligned to Microsoft cloud security practices. Which option should you choose?",use a static assigned group,grant access directly to each user,create a Conditional Access named location,create a dynamic membership rule on the required attribute,D,"The best answer is to create a dynamic membership rule on the required attribute. This directly addresses dynamic groups and group lifecycle, keeps permissions scoped, and matches the exam objective for Implement and manage user identities.","dynamic-groups, dynamic, domain-1"
sc300-d1-q29,SC-300,Implement and manage user identities,hard,FortisAid Healthcare,"FortisAid Healthcare has a production issue involving hybrid identity synchronization. The team wants the fastest secure remediation, not a temporary workaround. What is the best answer? The solution must minimize blast radius and preserve investigation evidence.",configure Microsoft Entra Connect Sync or Cloud Sync with filtering,create cloud-only duplicates,use B2B collaboration for employees,enable PIM for every synced account,A,"The best answer is to configure Microsoft Entra Connect Sync or Cloud Sync with filtering. This directly addresses hybrid identity synchronization, keeps permissions scoped, and matches the exam objective for Implement and manage user identities. In exam scenarios, prefer controls that are enforceable, auditable, and least-privileged over broad access or manual process.","hybrid-sync, hybrid, domain-1"
sc300-d1-q30,SC-300,Implement and manage user identities,medium,ClearVault Finance,You are designing controls for ClearVault Finance. The requirement is to collaborate with partner users while limiting their tenant access. Which implementation is the most appropriate?,create permanent member accounts for all partners,"configure External Identities, cross-tenant access settings, and scoped app access",disable guest access reviews,share an administrator account,B,"The best answer is to configure External Identities, cross-tenant access settings, and scoped app access. This directly addresses external identities and B2B, keeps permissions scoped, and matches the exam objective for Implement and manage user identities.","external-identities, external, domain-1"
sc300-d1-q31,SC-300,Implement and manage user identities,easy,Helix x Pulse Networks,Helix x Pulse Networks is working in a post-acquisition identity consolidation. The security lead needs to verify a custom domain and present trusted sign-in branding. Which action best satisfies the requirement while following least privilege?,change the default tenant name only,create a Conditional Access policy for the domain,add the DNS TXT record and configure company branding,assign licenses before verification,C,"The best answer is to add the DNS TXT record and configure company branding. This directly addresses tenant setup and domain management, keeps permissions scoped, and matches the exam objective for Implement and manage user identities.","tenant-domain-branding, tenant, domain-1"
sc300-d1-q32,SC-300,Implement and manage user identities,medium,Nexus Financial,"During a review at Nexus Financial, auditors found a gap related to administrative units and delegated administration. You must fix it without adding unnecessary standing access. What should you do?",make the team Global Administrators,create a dynamic group only,use a device compliance policy,scope the role assignment to an administrative unit,D,"The best answer is to scope the role assignment to an administrative unit. This directly addresses administrative units and delegated administration, keeps permissions scoped, and matches the exam objective for Implement and manage user identities.","admin-units, administrative, domain-1"
sc300-d1-q33,SC-300,Implement and manage user identities,medium,FortisAid Healthcare,"A change request at FortisAid Healthcare says: ""onboard many employees with consistent attributes and licenses."" The solution must be auditable and aligned to Microsoft cloud security practices. Which option should you choose?",use Microsoft Graph PowerShell or bulk CSV import with group-based licensing,manually create every account,ask Microsoft Support to import the users,store passwords in a shared spreadsheet,A,"The best answer is to use Microsoft Graph PowerShell or bulk CSV import with group-based licensing. This directly addresses bulk user creation and attributes, keeps permissions scoped, and matches the exam objective for Implement and manage user identities.","bulk-user-management, bulk, domain-1"
sc300-d1-q34,SC-300,Implement and manage user identities,hard,ClearVault Finance,"ClearVault Finance has a production issue involving dynamic groups and group lifecycle. The team wants the fastest secure remediation, not a temporary workaround. What is the best answer? The solution must minimize blast radius and preserve investigation evidence.",use a static assigned group,create a dynamic membership rule on the required attribute,grant access directly to each user,create a Conditional Access named location,B,"The best answer is to create a dynamic membership rule on the required attribute. This directly addresses dynamic groups and group lifecycle, keeps permissions scoped, and matches the exam objective for Implement and manage user identities. In exam scenarios, prefer controls that are enforceable, auditable, and least-privileged over broad access or manual process.","dynamic-groups, dynamic, domain-1"
sc300-d1-q35,SC-300,Implement and manage user identities,medium,Helix x Pulse Networks,You are designing controls for Helix x Pulse Networks. The requirement is to synchronize selected on-premises identities to Entra ID. Which implementation is the most appropriate?,create cloud-only duplicates,use B2B collaboration for employees,configure Microsoft Entra Connect Sync or Cloud Sync with filtering,enable PIM for every synced account,C,"The best answer is to configure Microsoft Entra Connect Sync or Cloud Sync with filtering. This directly addresses hybrid identity synchronization, keeps permissions scoped, and matches the exam objective for Implement and manage user identities.","hybrid-sync, hybrid, domain-1"
sc300-d1-q36,SC-300,Implement and manage user identities,easy,Nexus Financial,Nexus Financial is working in a regulated finance environment. The security lead needs to collaborate with partner users while limiting their tenant access. Which action best satisfies the requirement while following least privilege?,create permanent member accounts for all partners,disable guest access reviews,share an administrator account,"configure External Identities, cross-tenant access settings, and scoped app access",D,"The best answer is to configure External Identities, cross-tenant access settings, and scoped app access. This directly addresses external identities and B2B, keeps permissions scoped, and matches the exam objective for Implement and manage user identities.","external-identities, external, domain-1"
sc300-d1-q37,SC-300,Implement and manage user identities,medium,FortisAid Healthcare,"During a review at FortisAid Healthcare, auditors found a gap related to tenant setup and domain management. You must fix it without adding unnecessary standing access. What should you do?",add the DNS TXT record and configure company branding,change the default tenant name only,create a Conditional Access policy for the domain,assign licenses before verification,A,"The best answer is to add the DNS TXT record and configure company branding. This directly addresses tenant setup and domain management, keeps permissions scoped, and matches the exam objective for Implement and manage user identities.","tenant-domain-branding, tenant, domain-1"
sc300-d1-q38,SC-300,Implement and manage user identities,medium,ClearVault Finance,"A change request at ClearVault Finance says: ""delegate user administration for one department without tenant-wide rights."" The solution must be auditable and aligned to Microsoft cloud security practices. Which option should you choose?",make the team Global Administrators,scope the role assignment to an administrative unit,create a dynamic group only,use a device compliance policy,B,"The best answer is to scope the role assignment to an administrative unit. This directly addresses administrative units and delegated administration, keeps permissions scoped, and matches the exam objective for Implement and manage user identities.","admin-units, administrative, domain-1"
sc300-d1-q39,SC-300,Implement and manage user identities,hard,Helix x Pulse Networks,"Helix x Pulse Networks has a production issue involving bulk user creation and attributes. The team wants the fastest secure remediation, not a temporary workaround. What is the best answer? The solution must minimize blast radius and preserve investigation evidence.",manually create every account,ask Microsoft Support to import the users,use Microsoft Graph PowerShell or bulk CSV import with group-based licensing,store passwords in a shared spreadsheet,C,"The best answer is to use Microsoft Graph PowerShell or bulk CSV import with group-based licensing. This directly addresses bulk user creation and attributes, keeps permissions scoped, and matches the exam objective for Implement and manage user identities. In exam scenarios, prefer controls that are enforceable, auditable, and least-privileged over broad access or manual process.","bulk-user-management, bulk, domain-1"
sc300-d1-q40,SC-300,Implement and manage user identities,medium,Nexus Financial,You are designing controls for Nexus Financial. The requirement is to automatically grant access based on user attributes. Which implementation is the most appropriate?,use a static assigned group,grant access directly to each user,create a Conditional Access named location,create a dynamic membership rule on the required attribute,D,"The best answer is to create a dynamic membership rule on the required attribute. This directly addresses dynamic groups and group lifecycle, keeps permissions scoped, and matches the exam objective for Implement and manage user identities.","dynamic-groups, dynamic, domain-1"
sc300-d1-q41,SC-300,Implement and manage user identities,easy,FortisAid Healthcare,FortisAid Healthcare is working in a healthcare tenant with sensitive patient data. The security lead needs to synchronize selected on-premises identities to Entra ID. Which action best satisfies the requirement while following least privilege?,configure Microsoft Entra Connect Sync or Cloud Sync with filtering,create cloud-only duplicates,use B2B collaboration for employees,enable PIM for every synced account,A,"The best answer is to configure Microsoft Entra Connect Sync or Cloud Sync with filtering. This directly addresses hybrid identity synchronization, keeps permissions scoped, and matches the exam objective for Implement and manage user identities.","hybrid-sync, hybrid, domain-1"
sc300-d1-q42,SC-300,Implement and manage user identities,medium,ClearVault Finance,"During a review at ClearVault Finance, auditors found a gap related to external identities and B2B. You must fix it without adding unnecessary standing access. What should you do?",create permanent member accounts for all partners,"configure External Identities, cross-tenant access settings, and scoped app access",disable guest access reviews,share an administrator account,B,"The best answer is to configure External Identities, cross-tenant access settings, and scoped app access. This directly addresses external identities and B2B, keeps permissions scoped, and matches the exam objective for Implement and manage user identities.","external-identities, external, domain-1"
sc300-d1-q43,SC-300,Implement and manage user identities,medium,Helix x Pulse Networks,"A change request at Helix x Pulse Networks says: ""verify a custom domain and present trusted sign-in branding."" The solution must be auditable and aligned to Microsoft cloud security practices. Which option should you choose?",change the default tenant name only,create a Conditional Access policy for the domain,add the DNS TXT record and configure company branding,assign licenses before verification,C,"The best answer is to add the DNS TXT record and configure company branding. This directly addresses tenant setup and domain management, keeps permissions scoped, and matches the exam objective for Implement and manage user identities.","tenant-domain-branding, tenant, domain-1"
sc300-d1-q44,SC-300,Implement and manage user identities,hard,Nexus Financial,"Nexus Financial has a production issue involving administrative units and delegated administration. The team wants the fastest secure remediation, not a temporary workaround. What is the best answer? The solution must minimize blast radius and preserve investigation evidence.",make the team Global Administrators,create a dynamic group only,use a device compliance policy,scope the role assignment to an administrative unit,D,"The best answer is to scope the role assignment to an administrative unit. This directly addresses administrative units and delegated administration, keeps permissions scoped, and matches the exam objective for Implement and manage user identities. In exam scenarios, prefer controls that are enforceable, auditable, and least-privileged over broad access or manual process.","admin-units, administrative, domain-1"
sc300-d1-q45,SC-300,Implement and manage user identities,medium,FortisAid Healthcare,You are designing controls for FortisAid Healthcare. The requirement is to onboard many employees with consistent attributes and licenses. Which implementation is the most appropriate?,use Microsoft Graph PowerShell or bulk CSV import with group-based licensing,manually create every account,ask Microsoft Support to import the users,store passwords in a shared spreadsheet,A,"The best answer is to use Microsoft Graph PowerShell or bulk CSV import with group-based licensing. This directly addresses bulk user creation and attributes, keeps permissions scoped, and matches the exam objective for Implement and manage user identities.","bulk-user-management, bulk, domain-1"
sc300-d1-q46,SC-300,Implement and manage user identities,easy,ClearVault Finance,ClearVault Finance is working in a secure Azure landing zone. The security lead needs to automatically grant access based on user attributes. Which action best satisfies the requirement while following least privilege?,use a static assigned group,create a dynamic membership rule on the required attribute,grant access directly to each user,create a Conditional Access named location,B,"The best answer is to create a dynamic membership rule on the required attribute. This directly addresses dynamic groups and group lifecycle, keeps permissions scoped, and matches the exam objective for Implement and manage user identities.","dynamic-groups, dynamic, domain-1"
sc300-d1-q47,SC-300,Implement and manage user identities,medium,Helix x Pulse Networks,"During a review at Helix x Pulse Networks, auditors found a gap related to hybrid identity synchronization. You must fix it without adding unnecessary standing access. What should you do?",create cloud-only duplicates,use B2B collaboration for employees,configure Microsoft Entra Connect Sync or Cloud Sync with filtering,enable PIM for every synced account,C,"The best answer is to configure Microsoft Entra Connect Sync or Cloud Sync with filtering. This directly addresses hybrid identity synchronization, keeps permissions scoped, and matches the exam objective for Implement and manage user identities.","hybrid-sync, hybrid, domain-1"
sc300-d1-q48,SC-300,Implement and manage user identities,medium,Nexus Financial,"A change request at Nexus Financial says: ""collaborate with partner users while limiting their tenant access."" The solution must be auditable and aligned to Microsoft cloud security practices. Which option should you choose?",create permanent member accounts for all partners,disable guest access reviews,share an administrator account,"configure External Identities, cross-tenant access settings, and scoped app access",D,"The best answer is to configure External Identities, cross-tenant access settings, and scoped app access. This directly addresses external identities and B2B, keeps permissions scoped, and matches the exam objective for Implement and manage user identities.","external-identities, external, domain-1"
sc300-d1-q49,SC-300,Implement and manage user identities,hard,FortisAid Healthcare,"FortisAid Healthcare has a production issue involving tenant setup and domain management. The team wants the fastest secure remediation, not a temporary workaround. What is the best answer? The solution must minimize blast radius and preserve investigation evidence.",add the DNS TXT record and configure company branding,change the default tenant name only,create a Conditional Access policy for the domain,assign licenses before verification,A,"The best answer is to add the DNS TXT record and configure company branding. This directly addresses tenant setup and domain management, keeps permissions scoped, and matches the exam objective for Implement and manage user identities. In exam scenarios, prefer controls that are enforceable, auditable, and least-privileged over broad access or manual process.","tenant-domain-branding, tenant, domain-1"
sc300-d1-q50,SC-300,Implement and manage user identities,medium,ClearVault Finance,You are designing controls for ClearVault Finance. The requirement is to delegate user administration for one department without tenant-wide rights. Which implementation is the most appropriate?,make the team Global Administrators,scope the role assignment to an administrative unit,create a dynamic group only,use a device compliance policy,B,"The best answer is to scope the role assignment to an administrative unit. This directly addresses administrative units and delegated administration, keeps permissions scoped, and matches the exam objective for Implement and manage user identities.","admin-units, administrative, domain-1"
sc300-d2-q01,SC-300,Implement authentication and access management,easy,ClearVault Finance,ClearVault Finance is working in a secure Azure landing zone. The security lead needs to move users to stronger authentication methods. Which action best satisfies the requirement while following least privilege?,turn on legacy per-user MFA only,disable SSPR registration,enable the authentication methods policy and registration campaign,use password hash sync as MFA,C,"The best answer is to enable the authentication methods policy and registration campaign. This directly addresses authentication methods and MFA, keeps permissions scoped, and matches the exam objective for Implement authentication and access management.","auth-methods, authentication, domain-2"
sc300-d2-q02,SC-300,Implement authentication and access management,medium,Helix x Pulse Networks,"During a review at Helix x Pulse Networks, auditors found a gap related to Temporary Access Pass onboarding. You must fix it without adding unnecessary standing access. What should you do?",email the user's password,make the account exempt from MFA forever,create a guest account instead,issue a time-limited Temporary Access Pass,D,"The best answer is to issue a time-limited Temporary Access Pass. This directly addresses Temporary Access Pass onboarding, keeps permissions scoped, and matches the exam objective for Implement authentication and access management.","temporary-access-pass, temporary, domain-2"
sc300-d2-q03,SC-300,Implement authentication and access management,medium,Nexus Financial,"A change request at Nexus Financial says: ""require strong controls without locking out emergency accounts."" The solution must be auditable and aligned to Microsoft cloud security practices. Which option should you choose?",create a Conditional Access policy with exclusions for break-glass accounts,target all users including break-glass,use a storage firewall,assign Global Administrator permanently,A,"The best answer is to create a Conditional Access policy with exclusions for break-glass accounts. This directly addresses Conditional Access design, keeps permissions scoped, and matches the exam objective for Implement authentication and access management.","conditional-access, conditional, domain-2"
